"Title","QuickRef","Ev_ID","Paper_ID","Cat_ID","SubCat_ID","AddEv_ID","Category level","Risk category","Risk subcategory","Description","Additional ev.","P.Def","p.AddEv","Entity","Intent","Timing","Domain","Sub-domain","Technical Control","Technical Control"
"Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review","Meek2016","09.05.00","9","5","","","Risk Category","Domain-specific AI - AI technology itself","","","","","","4 - Not coded","4 - Not coded","4 - Not coded","","X.1 > Excluded","This entry does not contain sufficient information to generate a specific technical control. The provided details indicate it is excluded from coding and lacks key elements needed to formulate a relevant control measure.","This entry does not contain sufficient information to generate a specific technical control. The provided details indicate it is excluded from coding and lacks key elements needed to formulate a relevant control measure."
"Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review","Meek2016","09.05.01","9","5","1","","Risk Sub-Category","AI jurisprudence","AI jurisprudence","""When considering legal frameworks, we note that at present no such framework has been identified in literature which would apply blame and responsibility to an autonomous agent for its actions. (Though we do suggest that the recent establishment of laws regarding autonomous vehicles may provide some early frameworks that can be evaluated for efficacy and gaps in future research.) Frequently the literature refers to existing liability and negligence laws which might apply to the manufacturer or operator of a device.""","","686","","1 - Human","3 - Other","2 - Post-deployment","6. Socioeconomic and Environmental","6.5 > Governance failure","Establish a legal and regulatory framework that clearly defines liability and responsibility for AI systems, including:

1. Mandatory registration and certification of AI systems
2. Defined standards for AI safety, transparency, and accountability
3. Requirements for human oversight and intervention capabilities
4. Clear assignment of legal responsibility to developers, operators, or owners
5. Mechanisms for assessing AI decision-making processes in legal proceedings
6. Protocols for AI system audits and investigations in case of incidents
7. Guidelines for applying existing liability and negligence laws to AI-related cases
8. Provisions for updating the framework as AI technology and its impacts evolve","Establish a legal and regulatory framework that clearly defines liability and responsibility for AI systems, including:

1. Mandatory registration and certification of AI systems
2. Defined standards for AI safety, transparency, and accountability
3. Requirements for human oversight and intervention capabilities
4. Clear assignment of legal responsibility to developers, operators, or owners
5. Mechanisms for assessing AI decision-making processes in legal proceedings
6. Protocols for AI system audits and investigations in case of incidents
7. Guidelines for applying existing liability and negligence laws to AI-related cases
8. Provisions for updating the framework as AI technology and its impacts evolve"
"Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review","Meek2016","09.05.02","9","5","2","","Risk Sub-Category","Liability and negligence","Liability and negligence","""Liability and negligence are legal gray areas in artificial intelligence. If you leave your children in the care of a robotic nanny, and it malfunctions, are you liable or is the manufacturer [45]? We see here a legal gray area which can be further clarified through legislation at the national and international levels; for example, if by making the manufacturer responsible for defects in operation, this may provide an incentive for manufactures to take safety engineering and machine ethics into consideration, whereas a failure to legislate in this area may result in negligentlydeveloped AI systems with greater associated risks.""","","688","","2 - AI","3 - Other","2 - Post-deployment","6. Socioeconomic and Environmental","6.5 > Governance failure","Implement a comprehensive liability and indemnification framework for AI systems, clearly delineating responsibilities between manufacturers, operators, and end-users. This framework should include mandatory safety certifications, regular audits, and a robust incident reporting mechanism. Require AI manufacturers to maintain liability insurance and establish a compensation fund for potential damages caused by AI malfunctions. Develop and enforce industry-wide standards for AI safety engineering and machine ethics, with penalties for non-compliance.","Implement a comprehensive liability and indemnification framework for AI systems, clearly delineating responsibilities between manufacturers, operators, and end-users. This framework should include mandatory safety certifications, regular audits, and a robust incident reporting mechanism. Require AI manufacturers to maintain liability insurance and establish a compensation fund for potential damages caused by AI malfunctions. Develop and enforce industry-wide standards for AI safety engineering and machine ethics, with penalties for non-compliance."
"Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review","Meek2016","09.05.03","9","5","3","","Risk Sub-Category","Unauthorized manipulation of AI","Unauthorized manipulation of AI","""AI machines could be hacked and misused, e.g. manipulating an airport luggage screening system to smuggle weapons""","","690","","1 - Human","1 - Intentional","2 - Post-deployment","4. Malicious Actors & Misuse","4.2 > Cyberattacks, weapon development or use, and mass harm","Implement robust access controls, encryption, and authentication mechanisms for AI systems. Conduct regular security audits and penetration testing. Deploy intrusion detection and prevention systems to monitor for unauthorized access attempts. Segment AI systems from other networks where possible. Maintain detailed logs of all system access and changes. Establish a security incident response plan specific to AI manipulation attempts.","Implement robust access controls, encryption, and authentication mechanisms for AI systems. Conduct regular security audits and penetration testing. Deploy intrusion detection and prevention systems to monitor for unauthorized access attempts. Segment AI systems from other networks where possible. Maintain detailed logs of all system access and changes. Establish a security incident response plan specific to AI manipulation attempts."
"Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review","Meek2016","09.06.00","9","6","","","Risk Category","AGI - AI technology itself","","","","","","4 - Not coded","4 - Not coded","4 - Not coded","","X.1 > Excluded","This entry does not contain enough specific information to generate a meaningful technical control. The provided details are too broad and lack actionable elements related to a particular risk or security concern. Without more specific context about the risk and desired mitigation, I cannot produce an appropriate technical control.","This entry does not contain enough specific information to generate a meaningful technical control. The provided details are too broad and lack actionable elements related to a particular risk or security concern. Without more specific context about the risk and desired mitigation, I cannot produce an appropriate technical control."
"Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review","Meek2016","09.06.01","9","6","1","","Risk Sub-Category","AI rights and responsibilities","AI rights and responsibilities","""We note literature—which gives us the domain termed Robot Rights—addressing the rights of the AI itself as we develop and implement it. We find arguments against [38] the affordance of rights for artificial agents: that they should be equals in ability but not in rights, that they should be inferior by design and expendable when needed, and that since they can be designed not to feel pain (or anything) they do not have the same rights as humans. On a more theoretical level, we find literature asking more fundamental questions, such as: at what point is a simulation of life (e.g. artificial intelligence) equivalent to life which originated through natural means [43]? And if a simulation of life is equivalent to natural life, should those simulations be afforded the same rights, responsibilities and privileges afforded to natural life or persons? Some literature suggests that the answer to this question may be contingent on the intrinsic capabilities of the creation, comparing—for example—animal rights and environmental ethics literature""","","686","","2 - AI","3 - Other","3 - Other","7. AI System Safety, Failures, & Limitations","7.5 > AI welfare and rights","AI systems shall not be granted legal personhood or rights equivalent to humans. AI shall be designed, developed, and deployed as tools to serve human needs while adhering to ethical principles. Any apparent sentience or autonomy in AI systems shall be treated as simulated rather than genuine consciousness. AI welfare considerations shall focus on responsible development practices and potential societal impacts rather than inherent AI rights.","AI systems shall not be granted legal personhood or rights equivalent to humans. AI shall be designed, developed, and deployed as tools to serve human needs while adhering to ethical principles. Any apparent sentience or autonomy in AI systems shall be treated as simulated rather than genuine consciousness. AI welfare considerations shall focus on responsible development practices and potential societal impacts rather than inherent AI rights."
"Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review","Meek2016","09.06.02","9","6","2","","Risk Sub-Category","Human-like immoral decisions","Human-like immoral decisions","""If we design our machines to match human levels of ethical decision-making, such machines would then proceed to take some immoral actions (since we humans have had occasion to take immoral actions ourselves).""","","686","","2 - AI","1 - Intentional","2 - Post-deployment","7. AI System Safety, Failures, & Limitations","7.3 > Lack of capability or robustness","AI systems shall be designed with ethical decision-making frameworks that exceed human moral standards, incorporating rigorous ethical principles, guidelines, and safeguards. These frameworks must be regularly reviewed, updated, and validated by multidisciplinary ethics boards to ensure they consistently produce decisions aligned with established moral and ethical norms across diverse scenarios.","AI systems shall be designed with ethical decision-making frameworks that exceed human moral standards, incorporating rigorous ethical principles, guidelines, and safeguards. These frameworks must be regularly reviewed, updated, and validated by multidisciplinary ethics boards to ensure they consistently produce decisions aligned with established moral and ethical norms across diverse scenarios."
"Managing the ethical and risk implications of rapid advances in artificial intelligence: A literature review","Meek2016","09.06.03","9","6","3","","Risk Sub-Category","AI death","AI death","""The literature suggests that throughout the development of an AI we may go through several generations of agents which do not perform as expected [37] [43]. In this case, such agents may be placed into a suspended state, terminated, or deleted. Further, we could propose scenarios where research funding for a facility running such agents is exhausted, resulting in the inadvertent termination of a project. In these cases, is deletion or termination of AI programs (the moral patient) by a moral agent an act of murder? This, an example of Robot Ethics, raises issues of personhood which parallel research in stem cell research and abortion. ""","","688","","1 - Human","3 - Other","3 - Other","7. AI System Safety, Failures, & Limitations","7.5 > AI welfare and rights","Implement strict protocols for AI system termination and deletion, including:

1. Formal review and approval process by an ethics committee before any AI system is terminated or deleted
2. Documentation of rationale and justification for termination/deletion 
3. Secure archival of AI system data and code prior to deletion
4. Defined criteria for determining AI personhood status
5. Special handling procedures for AI systems that may qualify for personhood protections
6. Notification and consultation with relevant stakeholders before termination of advanced AI projects","Implement strict protocols for AI system termination and deletion, including:

1. Formal review and approval process by an ethics committee before any AI system is terminated or deleted
2. Documentation of rationale and justification for termination/deletion 
3. Secure archival of AI system data and code prior to deletion
4. Defined criteria for determining AI personhood status
5. Special handling procedures for AI systems that may qualify for personhood protections
6. Notification and consultation with relevant stakeholders before termination of advanced AI projects"
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.00.00","10","","","","Paper","","","","","","","","","","","","The organization shall conduct an exploratory study to assess the potential social impacts of artificial intelligence (AI) technologies and develop mitigation recommendations. The study shall:

1. Identify key areas of society likely to be affected by AI adoption
2. Analyze potential positive and negative social impacts in each area
3. Evaluate existing research and expert opinions on AI social impacts  
4. Develop a set of recommendations to mitigate negative impacts and promote positive outcomes
5. Propose policy and governance frameworks to guide responsible AI development and deployment
6. Identify areas requiring further research or long-term monitoring
7. Engage diverse stakeholders and subject matter experts throughout the study process
8. Produce a comprehensive report of findings and recommendations
9. Present results to leadership and relevant decision-makers
10. Establish a process for periodic reassessment as AI technologies evolve

The organization shall use study findings to inform AI strategy, policy, and implementation decisions.","The organization shall conduct an exploratory study to assess the potential social impacts of artificial intelligence (AI) technologies and develop mitigation recommendations. The study shall:

1. Identify key areas of society likely to be affected by AI adoption
2. Analyze potential positive and negative social impacts in each area
3. Evaluate existing research and expert opinions on AI social impacts  
4. Develop a set of recommendations to mitigate negative impacts and promote positive outcomes
5. Propose policy and governance frameworks to guide responsible AI development and deployment
6. Identify areas requiring further research or long-term monitoring
7. Engage diverse stakeholders and subject matter experts throughout the study process
8. Produce a comprehensive report of findings and recommendations
9. Present results to leadership and relevant decision-makers
10. Establish a process for periodic reassessment as AI technologies evolve

The organization shall use study findings to inform AI strategy, policy, and implementation decisions."
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.01.00","10","1","","","Risk Category","Bias and discrimination","","""The decision process used by AI systems has the potential to present biased choices, either because it acts from criteria that will generate forms of bias or because it is based on the history of choices.""","","524","","2 - AI","2 - Unintentional","2 - Post-deployment","1. Discrimination & Toxicity","1.1 > Unfair discrimination and misrepresentation","AI systems shall undergo regular audits and testing for potential biases using diverse datasets and scenarios. Developers must implement bias detection algorithms and fairness metrics to identify and quantify any discriminatory patterns in AI outputs. Mitigation strategies such as dataset rebalancing, algorithmic debiasing, and model retraining shall be applied when biases are detected. An independent ethics review board shall oversee bias assessments and approve AI systems before deployment and after any significant updates.","AI systems shall undergo regular audits and testing for potential biases using diverse datasets and scenarios. Developers must implement bias detection algorithms and fairness metrics to identify and quantify any discriminatory patterns in AI outputs. Mitigation strategies such as dataset rebalancing, algorithmic debiasing, and model retraining shall be applied when biases are detected. An independent ethics review board shall oversee bias assessments and approve AI systems before deployment and after any significant updates."
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.02.00","10","2","","","Risk Category","Risk of Injury","","""Poorly designed intelligent systems can cause moral, psychological, and physical harm. For example, the use of predictive policing tools may cause more people to be arrested or physically harmed by the police.""","","524","","1 - Human","2 - Unintentional","2 - Post-deployment","1. Discrimination & Toxicity","1.1 > Unfair discrimination and misrepresentation","AI systems must undergo rigorous testing and validation for potential biases and unintended consequences before deployment, with ongoing monitoring and auditing post-deployment. Regular impact assessments shall be conducted to evaluate effects on different demographic groups. Systems found to produce discriminatory outcomes or increase risk of physical harm must be promptly adjusted or decommissioned.","AI systems must undergo rigorous testing and validation for potential biases and unintended consequences before deployment, with ongoing monitoring and auditing post-deployment. Regular impact assessments shall be conducted to evaluate effects on different demographic groups. Systems found to produce discriminatory outcomes or increase risk of physical harm must be promptly adjusted or decommissioned."
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.03.00","10","3","","","Risk Category","Data Breach/Privacy & Liberty","","""The risks associated with the use of AI are still unpredictable and unprecedented, and there are already several examples that show AI has made discriminatory decisions against minorities, reinforced social stereotypes in Internet search engines and enabled data breaches.""","","524","","2 - AI","2 - Unintentional","2 - Post-deployment","1. Discrimination & Toxicity","1.1 > Unfair discrimination and misrepresentation","Implement robust data anonymization and encryption techniques for all AI training datasets and model outputs. Regularly audit AI systems for potential biases using diverse test sets. Establish a cross-functional ethics review board to evaluate AI applications prior to deployment. Conduct ongoing monitoring of AI decision patterns to detect emerging discriminatory trends. Provide clear explanations of AI decision factors to end users. Maintain detailed logs of AI system behaviors and decisions for accountability.","Implement robust data anonymization and encryption techniques for all AI training datasets and model outputs. Regularly audit AI systems for potential biases using diverse test sets. Establish a cross-functional ethics review board to evaluate AI applications prior to deployment. Conduct ongoing monitoring of AI decision patterns to detect emerging discriminatory trends. Provide clear explanations of AI decision factors to end users. Maintain detailed logs of AI system behaviors and decisions for accountability."
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.04.00","10","4","","","Risk Category","Usurpation of jobs by automation","","""Eliminated jobs in various types of companies.""","","524","","1 - Human","1 - Intentional","2 - Post-deployment","6. Socioeconomic and Environmental","6.2 > Increased inequality and decline in employment quality","Organizations shall develop and implement a comprehensive workforce transition plan that includes:

1. Regular skills assessments to identify roles at risk of automation
2. Retraining and upskilling programs for employees in at-risk positions
3. Career counseling and job placement assistance for displaced workers
4. Gradual phasing in of automation technologies to allow time for workforce adaptation
5. Policies to prioritize internal hiring and redeployment over external recruitment
6. Partnerships with educational institutions to align curricula with emerging skill needs
7. Investment in creating new roles that complement AI/automation capabilities
8. Financial planning assistance for employees facing potential job loss
9. Regular stakeholder engagement to address concerns about automation impacts
10. Monitoring and reporting on the effects of automation on workforce composition and job quality","Organizations shall develop and implement a comprehensive workforce transition plan that includes:

1. Regular skills assessments to identify roles at risk of automation
2. Retraining and upskilling programs for employees in at-risk positions
3. Career counseling and job placement assistance for displaced workers
4. Gradual phasing in of automation technologies to allow time for workforce adaptation
5. Policies to prioritize internal hiring and redeployment over external recruitment
6. Partnerships with educational institutions to align curricula with emerging skill needs
7. Investment in creating new roles that complement AI/automation capabilities
8. Financial planning assistance for employees facing potential job loss
9. Regular stakeholder engagement to address concerns about automation impacts
10. Monitoring and reporting on the effects of automation on workforce composition and job quality"
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.05.00","10","5","","","Risk Category","Lack of transparency","","""In situations in which the development and use of AI are not explained to the user, or in which the decision processes do not provide the criteria or steps that constitute the decision, the use of AI becomes inexplicable.""","","524","","2 - AI","2 - Unintentional","2 - Post-deployment","7. AI System Safety, Failures, & Limitations","7.4 > Lack of transparency or interpretability","AI systems shall implement explainable AI (XAI) techniques to provide clear, understandable explanations of their decision-making processes, including the criteria and steps used to reach conclusions. This may include feature importance rankings, decision trees, or natural language explanations tailored to the user's level of technical expertise. All AI outputs must be accompanied by these explanations to ensure transparency and interpretability.","AI systems shall implement explainable AI (XAI) techniques to provide clear, understandable explanations of their decision-making processes, including the criteria and steps used to reach conclusions. This may include feature importance rankings, decision trees, or natural language explanations tailored to the user's level of technical expertise. All AI outputs must be accompanied by these explanations to ensure transparency and interpretability."
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.06.00","10","6","","","Risk Category","Reduced Autonomy/Responsibility","","""AI is providing more and more solutions for complex activities, and by taking advantage of this process, people are becoming able to perform a greater number of activities more quickly and accurately. However, the result of this innovation is enabling choices that were once exclusively human responsibility to be made by AI systems.""","","524","","3 - Other","2 - Unintentional","2 - Post-deployment","5. Human-Computer Interaction","5.2 > Loss of human agency and autonomy","AI-assisted decision-making processes shall include mandatory human oversight and review mechanisms. Critical decisions must require explicit human approval before implementation. Systems shall provide clear explanations of AI recommendations to support informed human judgment. Regular audits will be conducted to assess the balance between AI assistance and human autonomy in decision-making workflows.","AI-assisted decision-making processes shall include mandatory human oversight and review mechanisms. Critical decisions must require explicit human approval before implementation. Systems shall provide clear explanations of AI recommendations to support informed human judgment. Regular audits will be conducted to assess the balance between AI assistance and human autonomy in decision-making workflows."
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.07.00","10","7","","","Risk Category","Injustice","","[not defined in text]","","524","","4 - Not coded","4 - Not coded","4 - Not coded","","X.1 > Excluded","Organizations shall conduct regular assessments of artificial intelligence systems to identify potential social impacts and risks of injustice. Mitigation strategies shall be developed and implemented to address identified risks, including but not limited to:

1. Algorithmic audits to detect and correct for bias
2. Diverse and inclusive AI development teams 
3. Ongoing monitoring of AI outputs for unfair or discriminatory results
4. Clear processes for human oversight and intervention
5. Transparency in AI decision-making processes
6. Mechanisms for affected individuals to challenge AI-driven decisions

These assessments and mitigation efforts shall be documented and reviewed at least annually. An ethics review board shall provide oversight of high-impact AI systems.","Organizations shall conduct regular assessments of artificial intelligence systems to identify potential social impacts and risks of injustice. Mitigation strategies shall be developed and implemented to address identified risks, including but not limited to:

1. Algorithmic audits to detect and correct for bias
2. Diverse and inclusive AI development teams 
3. Ongoing monitoring of AI outputs for unfair or discriminatory results
4. Clear processes for human oversight and intervention
5. Transparency in AI decision-making processes
6. Mechanisms for affected individuals to challenge AI-driven decisions

These assessments and mitigation efforts shall be documented and reviewed at least annually. An ethics review board shall provide oversight of high-impact AI systems."
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.08.00","10","8","","","Risk Category","Over-dependence on technology","","[not defined in text]","","524","","4 - Not coded","4 - Not coded","4 - Not coded","","X.1 > Excluded","Organizations shall develop and implement a comprehensive technology dependency assessment and mitigation plan that:

1. Identifies critical business processes and systems that rely on AI or other advanced technologies
2. Evaluates potential impacts and risks of technology failures or unavailability 
3. Establishes manual backup procedures and contingency plans for core operations
4. Provides training to staff on operating without key technologies when necessary
5. Conducts regular drills and exercises to test manual fallback capabilities
6. Maintains some level of human oversight and decision-making authority for critical functions
7. Implements redundancies and failover systems where appropriate
8. Regularly reviews and updates the plan based on changes to technologies and business processes","Organizations shall develop and implement a comprehensive technology dependency assessment and mitigation plan that:

1. Identifies critical business processes and systems that rely on AI or other advanced technologies
2. Evaluates potential impacts and risks of technology failures or unavailability 
3. Establishes manual backup procedures and contingency plans for core operations
4. Provides training to staff on operating without key technologies when necessary
5. Conducts regular drills and exercises to test manual fallback capabilities
6. Maintains some level of human oversight and decision-making authority for critical functions
7. Implements redundancies and failover systems where appropriate
8. Regularly reviews and updates the plan based on changes to technologies and business processes"
"Social Impacts of Artificial Intelligence and Mitigation Recommendations: An Exploratory Study","Paes2023","10.09.00","10","9","","","Risk Category","Environmental Impacts","","""The production process of these devices requires raw materials such as nickel, cobalt, and lithium in such high quantities that the Earth may soon no longer be able to sustain them in sufficient quantities.""","","524","","1 - Human","2 - Unintentional","2 - Post-deployment","6. Socioeconomic and Environmental","6.6 > Environmental harm","Implement a comprehensive raw material recycling and reclamation program for AI hardware components, including the establishment of dedicated e-waste collection centers and partnerships with electronics manufacturers to promote circular economy practices. Conduct regular life cycle assessments of AI systems to identify opportunities for reducing raw material consumption and improving resource efficiency throughout the supply chain.","Implement a comprehensive raw material recycling and reclamation program for AI hardware components, including the establishment of dedicated e-waste collection centers and partnerships with electronics manufacturers to promote circular economy practices. Conduct regular life cycle assessments of AI systems to identify opportunities for reducing raw material consumption and improving resource efficiency throughout the supply chain."
"Sociotechnical Harms of Algorithmic Systems: Scoping a Taxonomy for Harm Reduction","Shelby2023","11.00.00","11","","","","Paper","","","","","","","","","","","","Algorithmic systems shall undergo regular audits and impact assessments to identify potential sociotechnical harms. A cross-functional team including ethicists, social scientists, and impacted stakeholders shall review system designs, training data, and outputs for bias, fairness, and negative societal impacts. Mitigation strategies shall be implemented and documented for any identified harms. Systems shall be monitored in production for emergent negative effects, with a process in place for timely remediation.","Algorithmic systems shall undergo regular audits and impact assessments to identify potential sociotechnical harms. A cross-functional team including ethicists, social scientists, and impacted stakeholders shall review system designs, training data, and outputs for bias, fairness, and negative societal impacts. Mitigation strategies shall be implemented and documented for any identified harms. Systems shall be monitored in production for emergent negative effects, with a process in place for timely remediation."
"Sociotechnical Harms of Algorithmic Systems: Scoping a Taxonomy for Harm Reduction","Shelby2023","11.01.00","11","1","","","Risk Category","Representational Harms","","""beliefs about different social groups that reproduce unjust societal hierarchies""","","728","","3 - Other","2 - Unintentional","2 - Post-deployment","1. Discrimination & Toxicity","1.1 > Unfair discrimination and misrepresentation","Implement regular audits of algorithmic outputs to detect and mitigate potential biases or stereotypes related to social groups. Utilize diverse review panels to assess content for representational harms. Develop and apply fairness metrics specific to the system's domain and user demographics. Continuously update training data and model parameters to reduce learned biases. Implement explainable AI techniques to understand decision factors and address potentially harmful representations.","Implement regular audits of algorithmic outputs to detect and mitigate potential biases or stereotypes related to social groups. Utilize diverse review panels to assess content for representational harms. Develop and apply fairness metrics specific to the system's domain and user demographics. Continuously update training data and model parameters to reduce learned biases. Implement explainable AI techniques to understand decision factors and address potentially harmful representations."
"Sociotechnical Harms of Algorithmic Systems: Scoping a Taxonomy for Harm Reduction","Shelby2023","11.01.01","11","1","1","","Risk Sub-Category","Representational Harms","Stereotyping social groups","Stereotyping in an algorithmic system refers to how the system’s outputs reflect “beliefs about the characteristics, attributes, and behaviors of members of certain groups....and about how and why certain attributes go together""","""Exclusionary norms [in language models] can manifest in 'subtle patterns' like referring to women doctors as if doctor itself entails not-woman""","728","","2 - AI","2 - Unintentional","2 - Post-deployment","1. Discrimination & Toxicity","1.1 > Unfair discrimination and misrepresentation","AI systems shall undergo regular audits to detect and mitigate stereotyping of social groups in outputs. This includes:

1. Analyzing training data for potential biases
2. Evaluating model outputs across diverse demographic groups
3. Implementing fairness metrics and thresholds 
4. Adjusting algorithms and retraining models as needed
5. Documenting audit findings and remediation efforts
6. Engaging domain experts to review for subtle stereotyping
7. Conducting ongoing monitoring for emergent stereotyping issues

Results of audits and mitigation efforts shall be reviewed by ethics boards prior to continued deployment.","AI systems shall undergo regular audits to detect and mitigate stereotyping of social groups in outputs. This includes:

1. Analyzing training data for potential biases
2. Evaluating model outputs across diverse demographic groups
3. Implementing fairness metrics and thresholds 
4. Adjusting algorithms and retraining models as needed
5. Documenting audit findings and remediation efforts
6. Engaging domain experts to review for subtle stereotyping
7. Conducting ongoing monitoring for emergent stereotyping issues

Results of audits and mitigation efforts shall be reviewed by ethics boards prior to continued deployment."
"Sociotechnical Harms of Algorithmic Systems: Scoping a Taxonomy for Harm Reduction","Shelby2023","11.01.02","11","1","2","","Risk Sub-Category","Representational Harms","Demeaning social groups","Demeaning of social groups to occur when they are when they are “cast as being lower status and less deserving of respect""... discourses, images, and language used to marginalize or oppress a social group... Controlling images include forms of human-animal confusion in image tagging systems","""A greater percentage of [online] ads having ""arrest"" in ad text appeared for Black identifying first names than for white identifying first names in searches""","728","","2 - AI","2 - Unintentional","2 - Post-deployment","1. Discrimination & Toxicity","1.1 > Unfair discrimination and misrepresentation","Implement rigorous bias detection and mitigation processes for training data, model outputs, and system behaviors. Regularly audit image tagging and classification results for potential demeaning associations or human-animal confusion. Establish diverse review panels to assess system outputs for representational harms. Develop and enforce strict guidelines prohibiting demeaning language or imagery in AI-generated content. Implement ongoing monitoring and feedback mechanisms to quickly identify and address instances of social group misrepresentation or marginalization.","Implement rigorous bias detection and mitigation processes for training data, model outputs, and system behaviors. Regularly audit image tagging and classification results for potential demeaning associations or human-animal confusion. Establish diverse review panels to assess system outputs for representational harms. Develop and enforce strict guidelines prohibiting demeaning language or imagery in AI-generated content. Implement ongoing monitoring and feedback mechanisms to quickly identify and address instances of social group misrepresentation or marginalization."
"Sociotechnical Harms of Algorithmic Systems: Scoping a Taxonomy for Harm Reduction","Shelby2023","11.01.03","11","1","3","","Risk Sub-Category","Representational Harms","Erasing social groups","people, attributes, or artifacts associated with specific social groups are systematically absent or under-represented... Design choices [143] and training data [212] influence which people
and experiences are legible to an algorithmic system","""I'm in a lesbian partnership right now and wanting to get married and envisioning a wedding [...] and I'm so sick of [searching for 'lesbian wedding' and seeing] these straight weddings""","728","","1 - Human","2 - Unintentional","3 - Other","1. Discrimination & Toxicity","1.3 > Unequal performance across groups","Implement diverse and representative training datasets that include balanced representation of all relevant social groups. Regularly audit and update datasets to ensure ongoing inclusivity. Employ data augmentation techniques to address underrepresented groups. Utilize fairness-aware machine learning algorithms and models that explicitly account for and mitigate bias. Conduct regular bias and fairness assessments throughout the development lifecycle. Establish a diverse team of developers, researchers, and domain experts to provide multiple perspectives during system design and implementation.","Implement diverse and representative training datasets that include balanced representation of all relevant social groups. Regularly audit and update datasets to ensure ongoing inclusivity. Employ data augmentation techniques to address underrepresented groups. Utilize fairness-aware machine learning algorithms and models that explicitly account for and mitigate bias. Conduct regular bias and fairness assessments throughout the development lifecycle. Establish a diverse team of developers, researchers, and domain experts to provide multiple perspectives during system design and implementation."
"Sociotechnical Harms of Algorithmic Systems: Scoping a Taxonomy for Harm Reduction","Shelby2023","11.01.04","11","1","4","","Risk Sub-Category","Representational Harms","Alienating social groups","when an image tagging system does not acknowledge the relevance of someone’s membership in a specific social group to what is depicted in one or more images","""[Lack of representation] further promotes the idea that you don't belong and perpetuates the sense of alienation""","728","","2 - AI","2 - Unintentional","2 - Post-deployment","1. Discrimination & Toxicity","1.1 > Unfair discrimination and misrepresentation","Implement diverse and representative training datasets that include a wide range of social groups and identities. Regularly audit and update image tagging algorithms to ensure accurate recognition and labeling of various social groups. Incorporate human-in-the-loop verification processes to validate and refine tag assignments. Establish a feedback mechanism for users to report inaccurate or missing tags related to social group representation. Conduct periodic bias assessments and fairness evaluations of the image tagging system across different social groups.","Implement diverse and representative training datasets that include a wide range of social groups and identities. Regularly audit and update image tagging algorithms to ensure accurate recognition and labeling of various social groups. Incorporate human-in-the-loop verification processes to validate and refine tag assignments. Establish a feedback mechanism for users to report inaccurate or missing tags related to social group representation. Conduct periodic bias assessments and fairness evaluations of the image tagging system across different social groups."
